,loan_amnt,installment,annual_inc,result
0,5000.0,162.87,24000.0,0
1,2500.0,59.83,30000.0,1
2,2400.0,84.33,12252.0,0
3,10000.0,339.31,49200.0,0
4,3000.0,67.79,80000.0,0
5,5000.0,156.46,36000.0,0
6,7000.0,170.08,47004.0,0
7,3000.0,109.43,48000.0,0
8,5600.0,152.39,40000.0,1
9,5375.0,121.45,15000.0,1
10,6500.0,153.45,72000.0,0
11,12000.0,402.54,75000.0,0
12,9000.0,305.38,30000.0,1
13,3000.0,96.68,15000.0,0
14,10000.0,325.74,100000.0,1
15,1000.0,35.31,28000.0,0
16,10000.0,347.98,42000.0,0
17,3600.0,109.57,110000.0,0
18,6000.0,198.46,84000.0,0
19,9200.0,280.01,77385.19,0
20,20250.0,484.63,43370.0,0
21,21000.0,701.73,105000.0,1
22,10000.0,330.76,50000.0,0
23,10000.0,330.76,50000.0,0
24,6000.0,198.46,76000.0,1
25,15000.0,483.38,92000.0,0
26,15000.0,514.64,60000.0,1
27,5000.0,123.65,50004.0,1
28,4000.0,132.31,106000.0,0
29,8500.0,281.15,25000.0,0
30,4375.0,136.11,17108.0,0
31,31825.0,995.82,75000.0,0
32,10000.0,242.97,29120.0,0
33,5000.0,158.77,24044.0,0
34,7000.0,245.97,34000.0,0
35,12400.0,403.91,41000.0,0
36,10800.0,348.03,55596.0,0
37,15000.0,469.36,45000.0,0
38,6000.0,200.5,36852.0,0
39,12500.0,282.44,27000.0,0
40,9600.0,298.67,68004.0,0
41,12000.0,375.49,62300.0,0
42,3000.0,108.84,65000.0,0
43,4400.0,156.37,55000.0,0
44,6000.0,182.62,45600.0,0
45,14000.0,451.15,80000.0,0
46,5000.0,158.77,100000.0,1
47,10000.0,325.74,27000.0,0
48,10000.0,304.36,60000.0,0
49,11000.0,337.75,70000.0,0
50,15000.0,483.38,80000.0,1
51,25600.0,824.96,110000.0,0
52,7000.0,228.02,40000.0,0
53,12000.0,421.65,50000.0,1
54,12000.0,386.7,46000.0,0
55,21000.0,555.33,50000.0,1
56,16000.0,423.11,81000.0,0
57,10000.0,334.16,39000.0,0
58,10000.0,325.74,51400.0,0
59,7100.0,252.33,33000.0,0
60,13000.0,293.74,30000.0,0
61,17500.0,223.74,40000.0,0
62,17675.0,417.25,50000.0,0
63,8000.0,284.31,62000.0,0
64,10000.0,215.69,45996.0,1
65,3500.0,114.01,55000.0,0
66,12500.0,223.11,30000.0,1
67,16425.0,563.53,44544.0,0
68,8200.0,223.14,75000.0,1
69,15000.0,517.42,61000.0,0
70,20975.0,341.63,44000.0,0
71,6400.0,227.45,75000.0,1
72,3000.0,101.8,33600.0,0
73,12000.0,426.47,50000.0,0
74,14400.0,457.25,150000.0,0
75,12000.0,413.94,90000.0,0
76,11000.0,373.24,48000.0,0
77,7250.0,197.51,75000.0,0
78,15000.0,469.36,52000.0,0
79,18000.0,475.99,65000.0,0
80,35000.0,551.84,150000.0,0
81,10000.0,343.09,68000.0,0
82,11800.0,395.83,42000.0,0
83,4500.0,136.96,53000.0,0
84,7000.0,234.82,35000.0,0
85,9200.0,307.43,60000.0,0
86,14000.0,349.98,28000.0,0
87,4500.0,97.06,42000.0,0
88,12000.0,423.61,88365.0,0
89,12000.0,407.17,72000.0,0
90,12000.0,390.88,62000.0,0
91,7000.0,228.02,43680.0,0
92,8200.0,214.62,120000.0,0
93,10500.0,352.23,66000.0,0
94,7000.0,231.54,39120.0,0
95,15300.0,423.1,85000.0,0
96,20000.0,282.86,47800.0,0
97,17500.0,437.47,45000.0,1
98,3500.0,106.53,83000.0,0
99,6000.0,135.57,81000.0,0
100,6200.0,199.8,25000.0,1
101,16000.0,402.65,65000.0,0
102,6000.0,190.52,28800.0,0
103,7200.0,232.02,135000.0,0
104,9500.0,301.66,50000.0,0
105,18825.0,465.53,38000.0,1
106,24000.0,781.76,45000.0,0
107,6000.0,203.59,80000.0,0
108,6000.0,203.59,50000.0,0
109,2100.0,70.18,30000.0,0
110,5500.0,168.88,110000.0,0
111,11000.0,337.75,45608.0,0
112,26800.0,723.38,120000.0,0
113,8000.0,268.36,35000.0,0
114,10000.0,362.78,75000.0,1
115,8000.0,264.61,35000.0,0
116,10000.0,317.54,24000.0,0
117,12000.0,396.92,126000.0,0
118,10000.0,312.91,43000.0,0
119,12000.0,386.7,50000.0,0
120,25000.0,575.12,67000.0,1
121,19750.0,643.33,45000.0,1
122,10000.0,322.25,31200.0,0
123,13650.0,456.12,66000.0,0
124,28000.0,312.04,52000.0,1
125,18000.0,563.23,56964.0,0
126,2500.0,85.78,49500.0,0
127,21000.0,559.89,70000.0,0
128,35000.0,1111.37,125000.0,0
129,10000.0,311.11,33000.0,0
130,7000.0,234.82,30000.0,0
131,24000.0,843.3,90000.0,1
132,10625.0,330.56,23000.0,0
133,5000.0,172.48,24000.0,0
134,8850.0,271.73,62000.0,0
135,6375.0,198.34,44000.0,0
136,6000.0,198.46,90000.0,0
137,11100.0,340.82,41000.0,1
138,10000.0,225.95,56000.0,0
139,6200.0,188.71,26500.0,0
140,15000.0,547.12,54000.0,0
141,4200.0,138.92,53000.0,0
142,14000.0,480.33,52800.0,0
143,8875.0,276.11,38000.0,0
144,13500.0,435.04,38000.0,0
145,12000.0,386.7,42000.0,1
146,16000.0,423.11,55000.0,0
147,21600.0,565.32,60000.0,0
148,6000.0,195.44,87000.0,0
149,8450.0,208.97,25000.0,0
150,20000.0,460.1,82000.0,0
151,10000.0,330.76,60000.0,1
152,12000.0,423.61,80000.0,0
