,loan_amnt,installment,annual_inc,result,type
0,5000,162.87,24000,0,顺义区
1,2500,59.83,30000,1,昌平区
2,2400,84.33,12252,0,顺义区
3,10000,339.31,49200,0,顺义区
4,3000,67.79,80000,0,顺义区
5,5000,156.46,36000,0,顺义区
6,7000,170.08,47004,0,顺义区
7,3000,109.43,48000,0,顺义区
8,5600,152.39,40000,1,天津市市辖区
9,5375,121.45,15000,1,和平区
10,6500,153.45,72000,0,河东区
11,12000,402.54,75000,0,河西区
12,9000,305.38,30000,1,南开区
13,3000,96.68,15000,0,河北区
14,10000,325.74,100000,1,红桥区
15,1000,35.31,28000,0,
16,10000,347.98,42000,0,
17,3600,109.57,110000,0,
18,6000,198.46,84000,0,
19,9200,280.01,77385.19,0,
20,20250,484.63,43370,0,
21,21000,701.73,105000,1,滨海新区
22,10000,330.76,50000,0,宁河区
23,10000,330.76,50000,0,
24,6000,198.46,76000,1,
25,15000,483.38,92000,0,
26,15000,514.64,60000,1,
27,5000,123.65,50004,1,
28,4000,132.31,106000,0,桥西区
29,8500,281.15,25000,0,新华区
30,4375,136.11,17108,0,井陉矿区
31,31825,995.82,75000,0,裕华区
32,10000,242.97,29120,0,藁城区
33,5000,158.77,24044,0,鹿泉区
34,7000,245.97,34000,0,栾城区
35,12400,403.91,41000,0,井陉县
36,10800,348.03,55596,0,正定县
37,15000,469.36,45000,0,行唐县
38,6000,200.5,36852,0,灵寿县
39,12500,282.44,27000,0,高邑县
40,9600,298.67,68004,0,深泽县
41,12000,375.49,62300,0,赞皇县
42,3000,108.84,65000,0,无极县
43,4400,156.37,55000,0,平山县
44,6000,182.62,45600,0,元氏县
45,14000,451.15,80000,0,赵县
46,5000,158.77,100000,1,辛集市
47,10000,325.74,27000,0,晋州市
48,10000,304.36,60000,0,新乐市
49,11000,337.75,70000,0,唐山市
50,15000,483.38,80000,1,路南区
51,25600,824.96,110000,0,路北区
52,7000,228.02,40000,0,古冶区
53,12000,421.65,50000,1,开平区
54,12000,386.7,46000,0,丰南区
55,21000,555.33,50000,1,丰润区
56,16000,423.11,81000,0,曹妃甸区
57,10000,334.16,39000,0,滦南县
58,10000,325.74,51400,0,怀柔区
59,7100,252.33,33000,0,平谷区
60,13000,293.74,30000,0,密云区
61,17500,223.74,40000,0,延庆区
62,17675,417.25,50000,0,天津市
63,8000,284.31,62000,0,天津市市辖区
64,10000,215.69,45996,1,和平区
65,3500,114.01,55000,0,河东区
66,12500,223.11,30000,1,河西区
67,16425,563.53,44544,0,南开区
68,8200,223.14,75000,1,河北区
69,15000,517.42,61000,0,红桥区
70,20975,341.63,44000,0,东丽区
71,6400,227.45,75000,1,西青区
72,3000,101.8,33600,0,津南区
73,12000,426.47,50000,0,北辰区
74,14400,457.25,150000,0,武清区
75,12000,413.94,90000,0,宝坻区
76,11000,373.24,48000,0,滨海新区
77,7250,197.51,75000,0,宁河区
78,15000,469.36,52000,0,静海区
79,18000,475.99,65000,0,蓟州区
80,35000,551.84,150000,0,河北省
81,10000,343.09,68000,0,石家庄市
82,11800,395.83,42000,0,长安区
83,4500,136.96,53000,0,桥西区
84,7000,234.82,35000,0,新华区
85,9200,307.43,60000,0,井陉矿区
86,14000,349.98,28000,0,裕华区
87,4500,97.06,42000,0,藁城区
88,12000,423.61,88365,0,鹿泉区
89,12000,407.17,72000,0,天津市市辖区
90,12000,390.88,62000,0,和平区
91,7000,228.02,43680,0,河东区
92,8200,214.62,120000,0,河西区
93,10500,352.23,66000,0,南开区
94,7000,231.54,39120,0,河北区
95,15300,423.1,85000,0,红桥区
96,20000,282.86,47800,0,东丽区
97,17500,437.47,45000,1,西青区
98,3500,106.53,83000,0,津南区
99,6000,135.57,81000,0,北辰区
100,6200,199.8,25000,1,武清区
101,16000,402.65,65000,0,宝坻区
102,6000,190.52,28800,0,滨海新区
103,7200,232.02,135000,0,宁河区
104,9500,301.66,50000,0,静海区
105,18825,465.53,38000,1,蓟州区
106,24000,781.76,45000,0,河北省
107,6000,203.59,80000,0,石家庄市
108,6000,203.59,50000,0,长安区
109,2100,70.18,30000,0,丰南区
110,5500,168.88,110000,0,丰润区
111,11000,337.75,45608,0,曹妃甸区
112,26800,723.38,120000,0,滦南县
113,8000,268.36,35000,0,怀柔区
114,10000,362.78,75000,1,平谷区
115,8000,264.61,35000,0,密云区
116,10000,317.54,24000,0,延庆区
117,12000,396.92,126000,0,天津市
118,10000,312.91,43000,0,天津市市辖区
119,12000,386.7,50000,0,和平区
120,25000,575.12,67000,1,河东区
121,19750,643.33,45000,1,河西区
122,10000,322.25,31200,0,南开区
123,13650,456.12,66000,0,河北区
124,28000,312.04,52000,1,红桥区
125,18000,563.23,56964,0,天津市市辖区
126,2500,85.78,49500,0,和平区
127,21000,559.89,70000,0,河东区
128,35000,1111.37,125000,0,河西区
129,10000,311.11,33000,0,南开区
130,7000,234.82,30000,0,河北区
131,24000,843.3,90000,1,红桥区
132,10625,330.56,23000,0,东丽区
133,5000,172.48,24000,0,西青区
134,8850,271.73,62000,0,津南区
135,6375,198.34,44000,0,北辰区
136,6000,198.46,90000,0,武清区
137,11100,340.82,41000,1,宝坻区
138,10000,225.95,56000,0,滨海新区
139,6200,188.71,26500,0,宁河区
140,15000,547.12,54000,0,静海区
141,4200,138.92,53000,0,蓟州区
142,14000,480.33,52800,0,天津市市辖区
143,8875,276.11,38000,0,和平区
144,13500,435.04,38000,0,河东区
145,12000,386.7,42000,1,河西区
146,16000,423.11,55000,0,南开区
147,21600,565.32,60000,0,河北区
